PART,MANUFACTURER,DESCRIPTION,NOTES,Review Notes,MANF_PARTMFR,MANF_PARTMFR_NAME,MANF_PARTNUMBER,Match,MANF_SPARTNUMBER,VMRS,SYSTEM_,ASSEMBLY_,COMPONENT_
1000018215DSM,KENWORTH TRUCK CO,DUCT ASSY,,,BRGSR,BERGSTROM,1000018215,0.0,1000018215,001-000-000,"AIR CONDITIONING, HEATING AND VENTILATING SYSTEM",,
464980,BERGSTROM,"RING, AIR INLET",,,BRGSR,BERGSTROM,464980,1.0,464980,001-000-000,"AIR CONDITIONING, HEATING AND VENTILATING SYSTEM",,
84704349,VOLVO,FUSE PANEL COVER,,,VLVNA,"VOLVO TRUCKS NORTH AMERICA, INC.",84704349,1.0,84704349,002-000-000,CAB AND SHEET METAL,,
84723753,VOLVO,EXTENSION,,,VLVNA,"VOLVO TRUCKS NORTH AMERICA, INC.",84723753,1.0,84723753,002-000-000,CAB AND SHEET METAL,,
84724946,VOLVO,FAIRING - CHASSIS,,,VLVNA,"VOLVO TRUCKS NORTH AMERICA, INC.",84724946,1.0,84724946,002-000-000,CAB AND SHEET METAL,,
84904463,VOLVO,PANEL,,,VLVNA,"VOLVO TRUCKS NORTH AMERICA, INC.",84904463,1.0,84904463,002-000-000,CAB AND SHEET METAL,,
S64-6078-00281,PETERBILT MOTORS CO,"PANEL, D TECH",,,PACCR,PACCAR CORPORATION,S64-6078-00281,1.0,S64607800281,002-000-000,CAB AND SHEET METAL,,
5698456,CUMMINS ENGINE CO,"SENSOR, PRS TEMPERATURE",,,CMMNS,"CUMMINS ENGINE COMPANY, INC.",5698456,1.0,5698456,003-000-000,"INSTRUMENTS, GAUGES, WARNING AND SHUTDOWN DEVICES AND METERS",,
22849145,VOLVO,"CAP, SUPPLY, SOLENOID",,,VLVNA,"VOLVO TRUCKS NORTH AMERICA, INC.",22849145,1.0,22849145,013-000-000,BRAKES,,
703080,FREIGHTLINER,AMU GASKET,,,NORGR,"NORGREN, LTD.",703080,1.0,703080,013-000-000,BRAKES,,
DDE A9062032102,DETROIT DIESEL CORP,"HOSE, COOLANT AIR COMPRESSOR",,,DTDSC,DETROIT DIESEL CORPORATION,A9062032102,0.0,A9062032102,013-000-000,BRAKES,,
