code_9d,code_6d,system,subcode,description,source_file
053-001-004,,053,001,Hook - Tire Chains | 053-001-067 | Pivot - Automatic Traction Device,VMRS_HB_COMPLETE_v20 page 9_pages_26-50.md
053-001-005,,053,001,Cover - Tire Chain Carrier | 053-001-068 | Sleeve - Automatic Traction Device,VMRS_HB_COMPLETE_v20 page 9_pages_26-50.md
053-001-006,,053,001,"Isolator - Tire Carrier | 053-001-069 | Switch - Compressor, Automatic Traction Device",VMRS_HB_COMPLETE_v20 page 9_pages_26-50.md
053-001-007,,053,001,Hardware Mounting - Tire Chain Carrier | 053-001-070 | Tank - Automatic Traction Device,VMRS_HB_COMPLETE_v20 page 9_pages_26-50.md
053-001-008,,053,001,Box - Chain | 053-001-071 | Trav - Chain Automatic Traction Device,VMRS_HB_COMPLETE_v20 page 9_pages_26-50.md
052-001-000,,052,001,Cover Chain Box | 052 001 072 | Gourge Angle Automatic Traction Device,VMRS_HB_COMPLETE_v20 page 9_pages_26-50.md
053-001-009,,053,001,Linge Obein Dex | 053-001-072 | Davidian Obain Davi,VMRS_HB_COMPLETE_v20 page 9_pages_26-50.md
053-001-010,,053,001,Hinge - Chain Box | 053-001-073 | Partition - Chain Box,VMRS_HB_COMPLETE_v20 page 9_pages_26-50.md
053-001-011,,053,001,Hook - Chain Box Cover | 053-002-000 | Sander,VMRS_HB_COMPLETE_v20 page 9_pages_26-50.md
053-001-012,,053,001,"Traction Device, Automatic - Complete Assembly | 053-002-001 | Sander Assembly",VMRS_HB_COMPLETE_v20 page 9_pages_26-50.md
053-001-013,,053,001,Switch - Automatic Traction Device | 053-002-002 | Wiring Harness - Sander,VMRS_HB_COMPLETE_v20 page 9_pages_26-50.md
053-001-014,,053,001,"Chain - Automatic Traction Device | 053-002-003 | Hardware, Mounting - Sander",VMRS_HB_COMPLETE_v20 page 9_pages_26-50.md
053-001-015,,053,001,"Hardware, Mounting - Bracket, Automatic | 053-002-004 | Bracket - Sander",VMRS_HB_COMPLETE_v20 page 9_pages_26-50.md
053-002-005,,053,002,Traction Device | | Switch - Sander,VMRS_HB_COMPLETE_v20 page 9_pages_26-50.md
053-001-016,,053,001,Chainplate - Automatic Traction Device | 053-003-000 | Mattress,VMRS_HB_COMPLETE_v20 page 9_pages_26-50.md
053-001-017,,053,001,Wiring Harness - Automatic Traction Device | 053-003-001 | Mattress,VMRS_HB_COMPLETE_v20 page 9_pages_26-50.md
053-001-018,,053,001,Hose Air Automatic Traction Device | 053 003 002 | Spring Swinging Bunk,VMRS_HB_COMPLETE_v20 page 9_pages_26-50.md
053-001-019,,053,001,"Filling, Air Hose - Automatic Traction Device | 053-003-003 | Cover - Mattress",VMRS_HB_COMPLETE_v20 page 9_pages_26-50.md
053-001-020,,053,001,"Solenoid, Air - Automatic Traction Device | 053-003-004 | Retainer - Mattress",VMRS_HB_COMPLETE_v20 page 9_pages_26-50.md
053-001-021,,053,001,"Chamber, Air - Automatic Traction Device | 053-004-000 | Safety Equipment",VMRS_HB_COMPLETE_v20 page 9_pages_26-50.md
053-001-022,,053,001,Return Spring - Automatic Traction Device | 053-004-001 | Fire Extinguisher,VMRS_HB_COMPLETE_v20 page 9_pages_26-50.md
053-001-023,,053,001,Chainwheel - Automatic Traction Device | 053-004-002 | Spare Fuses,VMRS_HB_COMPLETE_v20 page 9_pages_26-50.md
053-001-024,,053,001,"Arm - Automatic Traction Device | 053-004-003 | Fusee, (Flare)",VMRS_HB_COMPLETE_v20 page 9_pages_26-50.md
053-001-025,,053,001,Mounting Bracket - Automatic Traction Device | 053-004-005 | Reflector Devices,VMRS_HB_COMPLETE_v20 page 9_pages_26-50.md
053-001-026,,053,001,Bearing - Automatic Traction Device | 053-004-006 | Red Flags,VMRS_HB_COMPLETE_v20 page 9_pages_26-50.md
053-001-027,,053,001,Housing Cylinder - Automatic Traction Device | 053-004-007 | First Aid Kit,VMRS_HB_COMPLETE_v20 page 9_pages_26-50.md
052-001-029,,052,001,Lid Cylinder Automatic Traction Device | 052 004 000 | Container Euco (Elero),VMRS_HB_COMPLETE_v20 page 9_pages_26-50.md
053-001-029,,053,001,"Push Rod - Cylinder, Automatic Traction Device | 053-004-011 | Bracket - Fire Extinguisher Mounting",VMRS_HB_COMPLETE_v20 page 9_pages_26-50.md
053-001-030,,053,001,Ball Joint - Automatic Traction Device | 053-004-012 | Staff - Red Flag,VMRS_HB_COMPLETE_v20 page 9_pages_26-50.md
