code_9d,code_6d,system,subcode,description,source_file
,001-117,001,117,Lock Bus Engine Access Deer,VMRS_HB_COMPLETE_v20 page 10_pages_1-6.md
,001-169,001,169,"Prop - Satety, Bus Engine Cover",VMRS_HB_COMPLETE_v20 page 10_pages_1-6.md
,002-005,002,005,"Cap, Tread Wear, Unneated - Bus Entry Step",VMRS_HB_COMPLETE_v20 page 10_pages_1-6.md
,001-170,001,170,"Key - Door Lock, Bus Body",VMRS_HB_COMPLETE_v20 page 10_pages_1-6.md
,003-034,003,034,Compartment Assembly - Underbody Storage,VMRS_HB_COMPLETE_v20 page 10_pages_1-6.md
,008-000,008,000,Glass Visibility Window Upper Bus Body,VMRS_HB_COMPLETE_v20 page 10_pages_1-6.md
,000-011,000,011,WINdow,VMRS_HB_COMPLETE_v20 page 10_pages_1-6.md
,000-002,000,002,Dody,VMRS_HB_COMPLETE_v20 page 10_pages_1-6.md
,010-035,010,035,"Laten - Salety, Folding Entrance Door",VMRS_HB_COMPLETE_v20 page 10_pages_1-6.md
,008-007,008,007,"Glass - Upper Lett Visibility Window, Bus Body",VMRS_HB_COMPLETE_v20 page 10_pages_1-6.md
,011-000,011,000,Door Lock,VMRS_HB_COMPLETE_v20 page 10_pages_1-6.md
,011-083,011,083,"Haroware ,Mounting - Outward Opening",VMRS_HB_COMPLETE_v20 page 10_pages_1-6.md
,011-044,011,044,"Regulator - Air, Outward Opening Entrance Door",VMRS_HB_COMPLETE_v20 page 10_pages_1-6.md
,012-020,012,020,Door,VMRS_HB_COMPLETE_v20 page 10_pages_1-6.md
,012-027,012,027,"Handle - Door Belease, Exterior Side Emergency",VMRS_HB_COMPLETE_v20 page 10_pages_1-6.md
,012-001,012,001,Sever - Olde Emergency Door Ealon,VMRS_HB_COMPLETE_v20 page 10_pages_1-6.md
,010-047,010,047,,VMRS_HB_COMPLETE_v20 page 10_pages_1-6.md
,010-000,010,000,Brackat Switch Emorganou Daars Daar Old-,VMRS_HB_COMPLETE_v20 page 10_pages_1-6.md
,013-044,013,044,"Cable - Release, Rear Emergency Door",VMRS_HB_COMPLETE_v20 page 10_pages_1-6.md
,017-002,017,002,"School BusHardware, Mounting - School Bus Stop Arm",VMRS_HB_COMPLETE_v20 page 10_pages_1-6.md
,017-000,017,000,Assembly,VMRS_HB_COMPLETE_v20 page 10_pages_1-6.md
,016-001,016,001,"Vent, Powered - Bus Roof, Complete Assembly",VMRS_HB_COMPLETE_v20 page 10_pages_1-6.md
,016-002,016,002,"Hardware, Mounting - Bus Roof Vent",VMRS_HB_COMPLETE_v20 page 10_pages_1-6.md
,016-003,016,003,Door - Bus Roof Vent,VMRS_HB_COMPLETE_v20 page 10_pages_1-6.md
,016-004,016,004,"Seal, Door, Bus Roof Vent",VMRS_HB_COMPLETE_v20 page 10_pages_1-6.md
,016-005,016,005,Hinge - Bus Roof Vent,VMRS_HB_COMPLETE_v20 page 10_pages_1-6.md
,016-006,016,006,"Hardware, Mounting - Bus Roof Vent Door Hinge",VMRS_HB_COMPLETE_v20 page 10_pages_1-6.md
,016-007,016,007,Latch - Bus Roof Vent,VMRS_HB_COMPLETE_v20 page 10_pages_1-6.md
,016-008,016,008,"Hardware, Mounting - Bus Roof Vent Latch",VMRS_HB_COMPLETE_v20 page 10_pages_1-6.md
,016-009,016,009,Switch - Bus Roof Vent,VMRS_HB_COMPLETE_v20 page 10_pages_1-6.md
,016-010,016,010,"Wiring, Harness - Bus Roof Vent",VMRS_HB_COMPLETE_v20 page 10_pages_1-6.md
,016-011,016,011,Fan - Bus Roof Vent,VMRS_HB_COMPLETE_v20 page 10_pages_1-6.md
,016-012,016,012,"Motor, Fan - Bus Roof Vent",VMRS_HB_COMPLETE_v20 page 10_pages_1-6.md
,016-013,016,013,Mounting Bracket - Bus Roof Vent Fan Motor,VMRS_HB_COMPLETE_v20 page 10_pages_1-6.md
,016-014,016,014,"Hardware, Mounting - Bus Roof Vent Fan MotorBracket",VMRS_HB_COMPLETE_v20 page 10_pages_1-6.md
,016-015,016,015,Louver - Bus Roof Vent,VMRS_HB_COMPLETE_v20 page 10_pages_1-6.md
,016-016,016,016,"Hardware, Mounting - Bus Roof Vent Louver",VMRS_HB_COMPLETE_v20 page 10_pages_1-6.md
,017-001,017,001,"Stop Arm - Electrical, Complete Assembly,School Bus",VMRS_HB_COMPLETE_v20 page 10_pages_1-6.md
,017-003,017,003,Module - School Bus Stop Arm,VMRS_HB_COMPLETE_v20 page 10_pages_1-6.md
,017-004,017,004,Wiring Harness - School Bus Stop Arm,VMRS_HB_COMPLETE_v20 page 10_pages_1-6.md
,017-005,017,005,Lamp - School Bus Stop Arm,VMRS_HB_COMPLETE_v20 page 10_pages_1-6.md
,017-006,017,006,"Hardware, Mounting - School Bus Stop Arm",VMRS_HB_COMPLETE_v20 page 10_pages_1-6.md
,017-007,017,007,"Stop Arm - Air, Complete Assembly, School Bus",VMRS_HB_COMPLETE_v20 page 10_pages_1-6.md
,017-008,017,008,Valve - School Bus Stop Arm Assembly,VMRS_HB_COMPLETE_v20 page 10_pages_1-6.md
,017-009,017,009,Switch - School Bus Stop Arm Assembly,VMRS_HB_COMPLETE_v20 page 10_pages_1-6.md
,017-010,017,010,Mounting Bracket -School Bus Stop ArmAssembly,VMRS_HB_COMPLETE_v20 page 10_pages_1-6.md
,017-011,017,011,Nipple - School Bus Stop Arm Assembly,VMRS_HB_COMPLETE_v20 page 10_pages_1-6.md
,017-012,017,012,"Connector - Male, School Bus Stop Arm",VMRS_HB_COMPLETE_v20 page 10_pages_1-6.md
,017-013,017,013,"Fitting - Tee, School Bus Stop Arm Assembly",VMRS_HB_COMPLETE_v20 page 10_pages_1-6.md
,017-014,017,014,"Fitting - Elbow, School Bus Stop Arm Assembly",VMRS_HB_COMPLETE_v20 page 10_pages_1-6.md
,017-015,017,015,Pressure Protection Valve - School Bus Stop,VMRS_HB_COMPLETE_v20 page 10_pages_1-6.md
,017-016,017,016,Arm Assembly,VMRS_HB_COMPLETE_v20 page 10_pages_1-6.md
,017-017,017,017,Relay School Rus Electric Stop Arm Assembly,VMRS_HB_COMPLETE_v20 page 10_pages_1-6.md
,017-019,017,019,Boaring Outer School Bus Stop Arm Assembly,VMRS_HB_COMPLETE_v20 page 10_pages_1-6.md
,017-020,017,020,Bushing - School Bus Stop Arm Assembly,VMRS_HB_COMPLETE_v20 page 10_pages_1-6.md
,017-021,017,021,Hinge - School Rus Stop Arm Assembly,VMRS_HB_COMPLETE_v20 page 10_pages_1-6.md
,017-022,017,022,Pin - School Bus Stop Arm Hinge,VMRS_HB_COMPLETE_v20 page 10_pages_1-6.md
,017-025,017,025,Base - School Bus Stop Arm Assembly,VMRS_HB_COMPLETE_v20 page 10_pages_1-6.md
,017-026,017,026,Paddle - School Bus Stop Arm Assembly,VMRS_HB_COMPLETE_v20 page 10_pages_1-6.md
,017-027,017,027,Stop Sign - School Bus Stop Arm Assembly,VMRS_HB_COMPLETE_v20 page 10_pages_1-6.md
,017-028,017,028,"Bracket - Hinge Mounting, School Bus Stop Arm",VMRS_HB_COMPLETE_v20 page 10_pages_1-6.md
,017-029,017,029,Cam - School Bus Stop Arm Assembly,VMRS_HB_COMPLETE_v20 page 10_pages_1-6.md
,017-030,017,030,Return Spring - School Bus Stop Arm Assembly,VMRS_HB_COMPLETE_v20 page 10_pages_1-6.md
,017-031,017,031,Diaphragm - School Bus Stop Arm Assembly,VMRS_HB_COMPLETE_v20 page 10_pages_1-6.md
,017-032,017,032,Heater - School Bus Stop Arm Assembly,VMRS_HB_COMPLETE_v20 page 10_pages_1-6.md
,017-033,017,033,Wind Guard - School Bus Stop Arm Assembly,VMRS_HB_COMPLETE_v20 page 10_pages_1-6.md
,017-034,017,034,Chime - School Bus Stop Arm Assembly,VMRS_HB_COMPLETE_v20 page 10_pages_1-6.md
,017-035,017,035,"Latch - Stop Paddle, School Bus Stop ArmAssembly",VMRS_HB_COMPLETE_v20 page 10_pages_1-6.md
,017-036,017,036,Cover - School Bus Stop Arm Assembly,VMRS_HB_COMPLETE_v20 page 10_pages_1-6.md
