vendor_part,vendor_manufacturer,vendor_description,vmrs_code,vmrs_description,vmrs_system,confidence_score,match_reasoning,match_rank
03-37679-000,FREIGHTLINER,"HOUSING, FILTER, AIR, COMPLETE",,,,NO_MATCH,Housing is a sub-component; no direct VMRS code for complete housing assembly,
03-42776-010,FREIGHTLINER,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine Air Cleaner",41.0,HIGH,Direct semantic match: air filter for engine,1.0
03-43845-000,FREIGHTLINER,"FILTER, FUEL/WATER SEPARATOR",044-002-087,"Filter - Fuel Filter, Water Separator",44.0,HIGH,Perfect match: fuel filter with water separator function,1.0
04236-U2020-71,TOYOTA,"FILTER, FUEL, LPG",044-002-014,"Filter - Fuel, Final",44.0,MEDIUM,"Fuel filter match, but LPG specification not captured in VMRS",1.0
04901-20570-71,TOYOTA,"FILTER, OIL, ENGINE",045-011-001,"Filter Assembly - Oil, Full Flow",45.0,HIGH,"Direct match: engine oil filter, full flow type",1.0
77145,CROWN,"FILTER, OIL, HYDRAULIC",065-006-018,"Filter - Hydraulic, Complete",65.0,HIGH,"Direct match: hydraulic oil filter, complete assembly",1.0
85360,"PACCAR, INC.","FILTER, DEF FLUID",043-007-228,Housing Assembly with Filter - DEF,43.0,HIGH,Direct match: DEF (Diesel Exhaust Fluid) filter,1.0
100416,THERMO KING,"FILTER, KIT, ENGINE, PM",082-041-005,"Filter Kit - Engine PM, Reefer",82.0,HIGH,Perfect match: Engine PM kit for refrigeration unit (Thermo King = Reefer),1.0
100449,THERMO KING,"FILTER, KIT, ENGINE, PM",082-041-005,"Filter Kit - Engine PM, Reefer",82.0,HIGH,Perfect match: Engine PM kit for refrigeration unit (Thermo King = Reefer),1.0
1005302,TENNANT,"FILTER, WATER, WASH SOLUTION",061-012-011,"Element - Air Filter, Wash Solution Recovery",61.0,MEDIUM,"Partial match: wash solution context matches, but air filter vs water filter mismatch",1.0
100579,THERMO KING,"FILTER, KIT, ENGINE, PM",082-041-005,"Filter Kit - Engine PM, Reefer",82.0,HIGH,Perfect match: Engine PM kit for reefer,1.0
100580,THERMO KING,"FILTER, KIT, ENGINE, PM",082-041-005,"Filter Kit - Engine PM, Reefer",82.0,HIGH,Perfect match: Engine PM kit for reefer,1.0
100583,THERMO KING,"FILTER, KIT, ENGINE, PM",082-041-005,"Filter Kit - Engine PM, Reefer",82.0,HIGH,Perfect match: Engine PM kit for reefer,1.0
100604,THERMO KING,"FILTER, KIT, ENGINE, PM",082-041-005,"Filter Kit - Engine PM, Reefer",82.0,HIGH,Perfect match: Engine PM kit for reefer,1.0
100634,THERMO KING,"FILTER, KIT, ENGINE, PM",082-041-005,"Filter Kit - Engine PM, Reefer",82.0,HIGH,Perfect match: Engine PM kit for reefer,1.0
10-11-9300B,THERMO KING,"FILTER, AIR, ENGINE",082-041-017,"Filter - Air, Engine, Reefer",82.0,HIGH,Perfect match: Air engine filter for reefer unit,1.0
1021579,TENNANT,"FILTER, OIL, HYDRAULIC",065-006-018,"Filter - Hydraulic, Complete",65.0,HIGH,Direct match: hydraulic oil filter,1.0
1027290,TENNANT,"FILTER, SOLUTION, .020 MESH",,,,NO_MATCH,"Specific mesh screen, no direct VMRS code for mesh specifications",
