vendor_part,vendor_manufacturer,vendor_description,vmrs_code,vmrs_description,similarity
903,TOMMY GATES,"TAIL, LIGHT, STOP, TURN",034-002-058,Lamp - Stop Turn Tail Lamp,0.6
75020,IMPERIAL SUPPLIES,"CABLE, DOOR, REAR, 115""",072-004-009,Cable - Rear Door,0.75
10024362,KYSOR IND CORP.,FAN HUB,042-003-005,"Hub - Fan Pulley, Driven",0.5
101531928,TRUCK PRO,NOX SENSOR,043-001-165,Sensor - Nitrogen Oxide (NOX),0.5
10538128,TRUCK PRO,NOX SENSOR,043-001-165,Sensor - Nitrogen Oxide (NOX),0.5
010810A,DAYCO CORP,"HOSE, HYDRAULIC, BRAIDED",053-008-027,Hose - Hydraulic,0.6666666666666666
01-14596-008,FREIGHTLINER,"CLAMP-V BAND,TURBOCH",043-004-035,"Clamp - V-Band, Turbocharger",0.6
01-27425-000,FREIGHTLINER,"TENSIONER-BELT,DRIVE",042-003-076,Tensioner - Belt,0.6666666666666666
01-29794-000,FREIGHTLINER,"PIPE, CHARGE AIR COOLER",041-004-023,"Pipe, Hot Side - Charge Air Cooler",0.6666666666666666
013-00439,FLEET ENGINEERS,"HANDLE, CRANK",077-003-005,Handle - Crank,1.0
01-32396-000,FREIGHTLINER,"RETAINER, ENGINE SUPPORT",014-003-039,"Retainer - Insulator, Engine Support",0.75
01-32732-671,"GATES RUBBER, THE","BELT, FAN 8 RIB",042-003-010,Belt - Fan,0.5
1346,SUPER START,BATTERY TERMINAL,032-001-079,Terminal End - Battery,0.6666666666666666
01-34693-200,FREIGHTLINER,"BELT, FAN, 12, RIB",042-003-010,Belt - Fan,0.5
01-34718-000,FREIGHTLINER,"CHARGE, AIR, COOLER, HOSE",041-004-014,Elbow - Charge Air Cooler,0.6
01-4224-70,GREAT DANE,"BRACKET, MOUNTING, MICRONOVA",034-004-036,Mounting Bracket -,0.6666666666666666
01-4224-71,GREAT DANE,"BRACKET, MOUNTING, MICRONOVA",034-004-036,Mounting Bracket -,0.6666666666666666
01-4424-02,GREAT DANE,"SWITCH, INTERIOR, DOME LAMP",034-004-014,Switch - Interior Lamp,0.75
01-4933-71,GREAT DANE,"LAMP, MARKER, LED, RED, 0.75""",034-004-253,LED - Marker Lamp,0.5
01-4952-78,UTILITY TRAILERS,"LAMP, MARKER, LED, RED",034-004-253,LED - Marker Lamp,0.75
01-6067-73,GREAT DANE,"LAMP, LED, LICENSE PLATE",034-002-083,LED - License Lamp,0.75
01-6074-71,TO BE DETERMINED,"LAMP, LED, LICENSE PLATE",034-002-083,LED - License Lamp,0.75
01-6129-73,GREAT DANE,"LAMP, LED, DOME, W/O SENSOR",034-004-452,LED - Dome Lamp,0.5
01-6280-71,GREAT DANE,"LAMP, BACK-UP, LED, 4""",034-003-142,LED - Back-Up Lamp Assembly,0.6666666666666666
01-6606-V8,GREAT DANE,"HARNESS, ABS",013-011-122,"Wiring Harness - ABS, Body",0.5
027-24403,FLEET ENGINEERS,"OPERATOR,ASSEMBLY",072-004-008,Operator,0.5
0-28156-012-0,AMERICAN ISUZU MTRS,"BOLT, BRACKET",053-007-005,Bolt,0.5
029-98205W,PRECISION BRAND PROD,"DOOR, REAR, ROLL UP",072-004-000,"Door Assembly Components - Roll-Up, Rear.",0.6666666666666666
03-07112,PETERBILT MOTORS CO,AIR SPRING,016-008-001,Air Spring - Rear Air Suspension,0.5
03-1250-0-006,UTILITY,DOCK BUMPER,072-001-028,Bumper - Dock,1.0
03-23669-000,FREIGHTLINER,FUEL TANK BOLT,044-001-043,"Eve Bolt - Strap, Fuel Tank",0.6
03-25693-000,FREIGHTLINER,"LUG TENSIONER, FUEL TANK STRAP",044-001-043,"Eve Bolt - Strap, Fuel Tank",0.42857142857142855
033-00270,FLEET ENGINEERS,"BRACKET, MUD FLAP, STRAIGHT",002-002-060,"Mounting Bracket - Mud Flap Hanger, Rear",0.42857142857142855
03-34467-000,FREIGHTLINER,"CAP, TANK, FUEL",044-001-002,Cap - Fuel TankCap - Fuel Tank Deefer,0.6
03-37017-000,FREIGHTLINER,"CAP, FUEL TANK, FREIGHTLINER",044-001-002,Cap - Fuel TankCap - Fuel Tank Deefer,0.5
03-38548-004,FREIGHTLINER,"STRAP, FUEL TANK",044-001-019,Strap - Fuel TankStrap - Fuel Tank Desfar,0.6
034-00426,FLEET ENGINEERS,"BRACKET, MUD FLAP, REAR",002-002-060,"Mounting Bracket - Mud Flap Hanger, Rear",0.6666666666666666
03-42776-000,FREIGHTLINER,"HOUSING, FILTER, AIR",041-001-026,Housing - Air Cleaner,0.5
03-42776-010,FREIGHTLINER,"FILTER, AIR, ENGINE",041-001-005,"Element - Filter, Engine, Air Cleaner",0.6
03-43479-000,FREIGHTLINER,"HOUSING, FILTER, AIR",041-001-026,Housing - Air Cleaner,0.5
03-43845-000,FREIGHTLINER,"FILTER, FUEL/WATER SEPARATOR",044-002-016,"Element - Fuel Filter, Water Separator",0.8
04-18567-000,FREIGHTLINER,"SHIELD, EXHAUST HEAT",043-003-042,Heat Shield Exhaust Manifold,0.75
04-18646-001,FREIGHTLINER,U BOLT,053-007-027,U-Bolt,1.0
04-20003-000,FREIGHTLINER,"PIPE, EXHAUST",043-003-025,Pipe Assembly - Exhaust Crossover,0.5
04-23721-007,FREIGHTLINER,FLEXIBLE PIPE - EXHAUST,043-003-017,Flexible Pipe - Exhaust,1.0
04-23721-012,DETROIT DIESEL CORP,"PIPE, EXHAUST FLEX",043-003-017,Flexible Pipe - Exhaust,0.5
04-27817-000,FREIGHTLINER,VENT-DEF TANK,043-007-198,Vent - DEF Tank,1.0
04-27829-000,FREIGHTLINER,"LINE, COOLANT DEF TANK SUPPLY",043-007-142,"Line - Coolant, Engine, Supply",0.5
04-27883-000,FREIGHTLINER,"LINE, COOLANT DEF TANK RETURN",043-007-143,"Line - Coolant, Engine, Return",0.5
04-28650-000,FREIGHTLINER,"DIESEL EXHAUST,FLUID, LINE",043-007-221,Line - Diesel Exhaust Fluid (DEF),0.8
04-28884-000,FREIGHTLINER,DEF LINE,043-007-193,"Line - Fuel, DEF",0.6666666666666666
04-30676-002,FREIGHTLINER,"PIPE, EXHAUST",043-003-025,Pipe Assembly - Exhaust Crossover,0.5
04-30813-000,FREIGHTLINER,"5"" EXHAUST CLAMP",043-003-013,Clamp - Exhaust System,0.5
