PART,MANUFACTURER,DESCRIPTION,CLASS,SYSTEM,COMPONENT,ASSEMBLY,ACTIVE,COMPLETE VMRS,COMPLETE CLASS,word_count,usable
03-37679-000,FREIGHTLINER,"HOUSING, FILTER, AIR, COMPLETE",FILTERS,41,1,65,Y,YES,YES,4,True
03-42776-010,FREIGHTLINER,"FILTER, AIR, ENGINE",FILTERS,41,1,5,Y,YES,YES,3,True
03-43845-000,FREIGHTLINER,"FILTER, FUEL/WATER SEPARATOR",FILTERS,44,2,16,Y,YES,YES,3,True
04236-U2020-71,TOYOTA,"FILTER, FUEL, LPG",FILTERS,266,2,0,Y,YES,YES,3,True
04901-20570-71,TOYOTA,"FILTER, OIL, ENGINE",FILTERS,266,,,Y,NO,YES,3,True
77145,CROWN,"FILTER, OIL, HYDRAULIC",FILTERS,266,3,0,Y,YES,YES,3,True
85360,"PACCAR, INC.","FILTER, DEF FLUID",FILTERS,43,7,28,Y,YES,YES,3,True
100416,THERMO KING,"FILTER, KIT, ENGINE, PM",FILTERS,82,41,5,Y,YES,YES,4,True
100449,THERMO KING,"FILTER, KIT, ENGINE, PM",FILTERS,82,41,5,Y,YES,YES,4,True
1005302,TENNANT,"FILTER, WATER, WASH SOLUTION",FILTERS,61,10,0,Y,YES,YES,4,True
100579,THERMO KING,"FILTER, KIT, ENGINE, PM",FILTERS,82,41,5,Y,YES,YES,4,True
100580,THERMO KING,"FILTER, KIT, ENGINE, PM",FILTERS,82,41,5,Y,YES,YES,4,True
100583,THERMO KING,"FILTER, KIT, ENGINE, PM",FILTERS,82,41,5,Y,YES,YES,4,True
100604,THERMO KING,"FILTER, KIT, ENGINE, PM",FILTERS,82,41,5,Y,YES,YES,4,True
100634,THERMO KING,"FILTER, KIT, ENGINE, PM",FILTERS,82,41,5,Y,YES,YES,4,True
10-11-9300B,THERMO KING,"FILTER, AIR, ENGINE",FILTERS,82,41,17,Y,YES,YES,3,True
1021579,TENNANT,"FILTER, OIL, HYDRAULIC",FILTERS,61,3,0,Y,YES,YES,3,True
1027290,TENNANT,"FILTER, SOLUTION, .020 MESH",FILTERS,61,10,9,Y,YES,YES,4,True
10-417,THERMO KING,"FILTER, KIT, ENGINE, PM",FILTERS,82,41,5,Y,YES,YES,4,True
1045900,TENNANT,"FILTER, CANNISTER, DUST",FILTERS,61,2,4,Y,YES,YES,3,True
10-473,THERMO KING,"FILTER, KIT, ENGINE, PM",FILTERS,151,1,34,Y,YES,YES,4,True
107423,JOHN DEERE LTD.,"FILTER, OIL, ENGINE",FILTERS,45,11,1,Y,YES,YES,3,True
107794,"BENDIX CORP, THE","CARTRIDGE, AIR DRYER",FILTERS,13,10,129,Y,YES,YES,3,True
107796,"BENDIX CORP, THE","CARTRIDGE, AIR DRYER",FILTERS,13,10,,Y,NO,YES,3,True
109493,"BENDIX CORP, THE","CARTRIDGE, AIR DRYER",FILTERS,13,10,129,Y,YES,YES,3,True
11013-1290,KAWASAKI,"FILTER, AIR, ENGINE",FILTERS,41,1,5,Y,YES,YES,3,True
1982-11-01 00:00:00,THERMO KING,"FILTER, OIL, ENGINE",FILTERS,82,41,6,Y,YES,YES,3,True
119059,THERMO KING,"FILTER, AIR, ENGINE",FILTERS,82,41,17,Y,YES,YES,3,True
1998-11-01 00:00:00,THERMO KING,"FILTER, FUEL, SECONDARY",FILTERS,82,39,12,Y,YES,YES,3,True
119299,THERMO KING,"FILTER, AIR, ENGINE",FILTERS,82,41,17,Y,YES,YES,3,True
119300,THERMO KING,"FILTER, AIR, ENGINE",FILTERS,82,41,17,Y,YES,YES,3,True
119321,THERMO KING,"FILTER, OIL, ENGINE",FILTERS,82,41,6,Y,YES,YES,3,True
119341,THERMO KING,"FILTER, FUEL, PRIMARY",FILTERS,82,39,12,Y,YES,YES,3,True
119342,THERMO KING,"FILTER, FUEL, PRIMARY",FILTERS,82,39,12,Y,YES,YES,3,True
119955,THERMO KING,"FILTER, AIR, ENGINE",FILTERS,82,41,17,Y,YES,YES,3,True
119956,THERMO KING,"FILTER, AIR, ENGINE",FILTERS,82,41,17,Y,YES,YES,3,True
119959,THERMO KING,"FILTER, OIL, ENGINE",FILTERS,82,41,6,Y,YES,YES,3,True
119960,THERMO KING,"FILTER, OIL, ENGINE",FILTERS,82,41,6,Y,YES,YES,3,True
119961,THERMO KING,"FILTER, OIL, ENGINE",FILTERS,82,41,6,Y,YES,YES,3,True
119965,THERMO KING,"FILTER, FUEL, PRIMARY",FILTERS,82,39,12,Y,YES,YES,3,True
119966,THERMO KING,"FILTER, FUEL, PRIMARY",FILTERS,82,39,12,Y,YES,YES,3,True
