code,name,parent_system_code,description
293-001,Oil Shaker Box,293,
294-001,Fuel Metering Unit,294,
361-001,Air Compressor - Portable Unit,361,
361-002,Motor - Air Compressor System,361,
361-003,Hydraulic System - Air Compressor,361,
361-004,Support - Air Compressor,361,
361-005,"Control - Air Compressor, Portable",361,
361-006,"Frame - Air Compressor Unit, Portable",361,
361-007,Reservoir - Air Compressor System,361,
361-008,Plumbing,361,
361-009,"Filtration - Air Compressor System, Portable",361,
361-010,Couplers,361,
361-011,Lines and Hoses,361,
361-012,Safety Devices - Air Compressor System,361,
362-001,Scales Carriage,362,
013-001,Front Brakes and Drums,013,Front brakes and drums assembly
053-999,Equipment Fluids and Gases,053,Assembly level code for equipment fluids and gases
002-010,Mirrors,002,
002-024,Glass and Windows,002,
002-046,Center Post,002,
013-010,Brake Hoses,013,
015-003,Steering Shaft,015,
015-007,Steering Control Valve,015,
017-009,Tire Pressure Monitoring System Hoses,017,
018-001,Front Steer Wheel,018,
018-002,Rear Drive Wheel,018,
018-004,Wheel Bearings,018,
022-003,Differential,022,
023-001,Clutch Linkage,023,
034-001,Headlamps,034,
034-004,"Load Center, Cab",034,
034-006,Work Lamps,034,
041-004,Intercooler,041,
042-002,Exhaust Hoses,042,
044-001,Fuel Tank,044,
053-004,Safety Equipment,053,
055-011,Lift Fork,055,
082-031,Reefer Throttling Valve,082,
082-040,Reefer EGR System,082,
094-004,Transmission Cooler,094,
168-006,Tire Pressure Monitoring System Hoses,168,
174-033,Grease Distributor,174,
002-004,Hood,002,
002-048,Cab Upholstery and Trim,002,
082-044,Reefer Engine Electrical,082,
002-050,Sleeper Compartment,002,
004-003,Roof Fairing,004,
004-004,Cab Extenders,004,
016-005,Rear Suspension (Non-Air),016,
016-018,Slider Air Ride Suspension,016,
016-020,Strut Assembly,016,
043-007,Cab Components,043,
055-023,Wheelchair Lift,055,
059-001,Fifth Wheel,059,
071-015,Screws,071,
071-016,Rivets,071,
071-017,Tappet - Nylon,071,
071-019,Insulation - Body,071,
071-020,Flooring Assembly - Removable,071,
094-001,Line - Crossover,094,
094-002,Line - Product Loading,094,
094-005,"Line - Pump-Off, Discharge, Vehicle-To-Vehicle",094,
094-006,Reel Assembly - Line W/Hose & Fittings,094,
