code,name,parent_assembly_code,description
293-001-001,"Wiring - Centrifuge, Oil Shaker Box",293-001,
293-001-002,"Element - Heater Pocket, Oil Shaker Box",293-001,
293-001-003,Motor - Oil Shaker Box,293-001,
293-001-004,"Control Board - Motor, Oil Shaker Box",293-001,
293-001-005,"Control Pot - Speed, Oil Shaker Box",293-001,
293-001-006,Thermostat - Oil Shaker Box,293-001,
293-001-007,"Element - Bowl Heater, Oil Shaker Box",293-001,
293-001-008,"Switch - Bowl Heater, Oil Shaker Box",293-001,
293-001-009,"Switch - Heater Pocket, Oil Shaker Box",293-001,
293-001-010,Relay - Oil Shaker Box,293-001,
293-001-011,"Pump - Solvent, Oil Shaker Box",293-001,
294-001-001,Fuel Meter Assembly,294-001,
294-001-002,Computer Board - Fuel Meter,294-001,
294-001-003,Strainer - Fuel Meter,294-001,
294-001-004,Cover w/Display - Fuel Meter,294-001,
294-001-005,Meter - Fuel Meter,294-001,
294-001-006,"Register - Electronic, Fuel Meter",294-001,
294-001-007,"Remote - Base, Fuel Meter",294-001,
294-001-008,"Actuator Kit - Meter, Fuel Meter",294-001,
294-001-009,"Basket - Strainer, Fuel Meter",294-001,
294-001-010,"Cable - Data, Fuel Meter",294-001,
294-001-011,"Cable - Power, Fuel Meter",294-001,
294-001-012,"Valve - E7, Fuel Meter",294-001,
294-001-013,Flange - Fuel Meter,294-001,
294-001-014,Float Assembly - Fuel Meter,294-001,
294-001-015,"Gasket - Body Plate, Fuel Meter",294-001,
294-001-016,"Gear - Face Drive, Fuel Meter",294-001,
294-001-017,"Knob - Register Switch, Fuel Meter",294-001,
294-001-018,"Linkage - Offset Link, Fuel Meter",294-001,
294-001-019,Omniseal - Fuel Meter,294-001,
294-001-020,Packing Gland - Fuel Meter,294-001,
294-001-021,"Plate - Valve, Fuel Meter",294-001,
294-001-022,"Pod Assembly - Fork Drive, Fuel Meter",294-001,
294-001-023,"Probe - Propane Temperature, Fuel Meter",294-001,
294-001-024,"Reed - Air Release, Fuel Meter",294-001,
294-001-025,"Ring - Wear, E7 Valve, Fuel Meter",294-001,
294-001-026,"Shaft - Meter Drive, Fuel Meter",294-001,
294-001-027,"Solenoid - Optic Sensor, Fuel Meter",294-001,
294-001-028,"Solenoid - LPG Valve, Fuel Meter",294-001,
294-001-029,"Tube - Valve, Fuel Meter",294-001,
294-001-030,"Valve - Block Assembly, Fuel Meter",294-001,
294-001-031,"Valve - Refined Fuels, Fuel Meter",294-001,
294-001-032,"Valve - Inlet, Hard Seat, Fuel Meter",294-001,
294-001-033,"Valve - Air Check Assembly, Fuel Meter",294-001,
294-001-034,"Valve - Solenoid, 2-Way, Fuel Meter",294-001,
294-001-035,"Valve - Solenoid, 3-Way, Fuel Meter",294-001,
362-001-001,Scales Carriage Assembly,362-001,
362-001-002,Plate - Rear Mounting,362-001,
362-001-003,Plate - Front Mounting,362-001,
362-001-004,Pin - Centering,362-001,
362-001-006,Mounting Hook,362-001,
362-001-008,Shim - Adjusting,362-001,
362-001-009,Spacer Plate - Rear Carriage,362-001,
362-001-010,Weigh Bar Assembly,362-001,
013-001-015,Front Brake Lining,013-001,
053-999-013,"Fuel, Diesel Engine",053-999,Diesel engine fuel
053-999-014,"Fuel, Gasoline Engine",053-999,Gasoline engine fuel
053-999-015,"Fuel, Propane Engine",053-999,Propane engine fuel
053-999-016,"Oil, Engine",053-999,Engine oil
002-010-019,"Head - Mirror, Heated, Left",002-010,
002-010-088,"Head - Mirror, Convex",002-010,
002-024-030,"Glass, Windshield - Complete Assembly",002-024,"including Frame, Weatherstripping, etc."
002-024-031,"Glass, Standard - Body Side Window",002-024,
002-024-032,"Glass, Storm - Body Side Window",002-024,
002-024-033,"Glass, Top Hinged - Body Side Window",002-024,
002-024-034,"Glass, Side Hinged - Body Side Window",002-024,
002-024-036,"Glass, Service (Entrance) Door",002-024,
002-046-069,"Glazing - Vinyl, Center Post",002-046,
013-010-500,Hose - Three-In-One,013-010,
015-003-068,Grease Fitting - Steering Shaft Universal Joint,015-003,
015-007-023,"Nut - Adjusting, Steering Control Valve",015-007,
017-009-040,Hose - Tire Pressure Monitoring System,017-009,
018-001-007,"Nut - Adjusting, Spindle, Front Steer Wheel",018-001,
018-002-007,"Nut - Adjusting, Bearing, Rear Drive Wheel, Inner",018-002,
018-002-024,"Nut - Adjusting, Bearing, Rear Drive Wheel, Outer",018-002,
018-004-013,"Nut - Adjusting, Bearing, Inner",018-004,
018-004-015,"Nut - Adjusting, Bearing, Outer",018-004,
022-003-045,"Nut - Adjusting, Differential Side Bearing",022-003,
022-003-075,Nut - Adjusting Screw,022-003,
023-001-058,Grease Fitting - Clutch Linkage,023-001,
034-001-026,"Nut - Adjusting, Headlamp",034-001,
034-004-151,"Circuit Board - Load Center, Cab",034-004,
034-006-034,Bracket - Work Lamp,034-006,
041-004-055,Head - Intercooler,041-004,
042-002-198,"Hose - to Motor, Boom, Mower",042-002,
044-001-116,"Clamp - Breather Tube, Fuel Tank",044-001,
053-004-081,Glasses - Safety,053-004,
053-999-026,Grease - Multi-Purpose,053-999,
053-999-028,Grease - Wheel Bearings,053-999,
053-999-034,Grease - Synthetic,053-999,
053-999-176,Grease - Spark Plug Boot,053-999,
053-999-265,Grease - Marine,053-999,
053-999-271,Grease - Spindle,053-999,
055-011-006,Lift Fork Latch Handle,055-011,
082-031-051,"Hose - Throttling Valve to Solenoid Valve, Reefer",082-031,
082-040-005,"Hose - Tube to EGR Cooler, Reefer",082-040,
094-004-004,Hose - Transmission Cooler Inlet,094-004,
168-006-012,"Hose - Unloading, Abrasive Dry Product",168-006,
174-033-068,Grease Distributor Assembly,174-033,
002-004-141,Torsion Bar - Hood,002-004,
002-004-147,"Support - Lower Hood, Rear",002-004,
002-004-148,"Hardware, Mounting - Rear Lower Hood Support",002-004,
002-004-149,"Plate - Stiffener, Rod Bridge",002-004,
002-004-150,Hood Assembly - Complete,002-004,
002-004-151,Rod - Hood Release,002-004,
002-004-152,Cable - Hood Release,002-004,
002-004-153,Pivot - Hood Release,002-004,
002-004-154,"Shim - Clamp, Hood Release Cable",002-004,
002-004-155,Clamp - Hood Release Cable,002-004,
002-004-156,"Support - Prop, Hood",002-004,
002-004-157,Prop Rod - Hood,002-004,
002-004-158,Clip - Prop Rod,002-004,
002-004-159,"Mounting - Prop Rod, Hood",002-004,
002-004-160,Release Assembly - Hood,002-004,
002-004-161,Receptacle - Hood Release Assembly,002-004,
002-004-162,"Hardware, Mounting - Hood Release Assembly",002-004,
002-004-163,Guide - Hood,002-004,
002-004-164,Brace - Hood,002-004,
002-004-166,"Door - Access, Hood",002-004,
002-004-167,"Switch - Tilt, Hood",002-004,
002-004-169,Scoop - Hood,002-004,
002-004-170,"Panel - Filler, Hood to Cab",002-004,
002-004-171,"Panel - Trim, Hood, Lower",002-004,
002-004-172,"Panel - Hood, Front",002-004,
002-004-173,"Bezel - Hood, Top",002-004,
002-004-174,"Bezel - Hood, Bottom",002-004,
002-004-175,Nozzle - Headlamp Washer,002-004,
002-004-176,Retainer - Hood Insulator,002-004,
002-004-177,"Panel - Hood, Lower",002-004,
002-004-178,Extension - Hood Panel,002-004,
002-004-179,Isolator - Hood Support,002-004,
002-004-180,Socket - Hood Pin,002-004,
002-004-181,Reinforcement - Hood Guide/Support,002-004,
002-004-182,Pin - Hood Alignment,002-004,
002-004-183,Handle - Hood Latch,002-004,
002-004-184,Bracket - Hood Restraint,002-004,
002-004-185,Bracket - Hood Latch Striker,002-004,
002-004-186,Spring - Hood Latch,002-004,
002-004-187,Sleeve - Hood Pin,002-004,
002-004-188,"Plate - Splice, Hood Bezel",002-004,
002-004-189,"Cover - Splice Plate, Hood Bezel",002-004,
002-004-190,Damper - Hood,002-004,
002-004-191,"Ball - Stud, Hood Damper",002-004,
002-004-192,"Actuator - Torsion Bar, Hood",002-004,
002-004-193,"Bearing - Roller, Hood Tilt Assist",002-004,
002-004-194,"Cover - Opening, Hood",002-004,
002-004-195,Guard - Hood Latch,002-004,
002-004-196,Extrusion - Hood,002-004,
002-004-197,Link - Hood Hinge,002-004,
002-004-198,"Rod - Sight, Hood",002-004,
002-004-199,Liner - Torsion Bar,002-004,
002-004-200,Panel - Hood Plenum,002-004,
002-004-201,"Latch - Hood, Access Door",002-004,
002-004-202,Tilt Assist Assembly - Hood,002-004,
002-004-203,"Molding - Drip, Hood",002-004,
002-004-204,"Bracket - Filler Panel, Hood to Cab",002-004,
002-004-205,"Screen - Plenum, Hood",002-004,
002-004-206,"Plate - Tapping, Hood Latch",002-004,
002-004-207,Striker - Hood,002-004,
002-004-208,"End - Rub Rail, Hood",002-004,
002-004-209,Adjuster - Hood,002-004,
002-004-210,Cap - Hood,002-004,
002-004-211,"Casting - Hood, Corner",002-004,
002-004-212,Lock - Hood,002-004,
002-004-213,"Block - Stop, Access Door",002-004,
002-004-214,"Bracket - Crossbar, Hood",002-004,
002-004-215,"End - Rod, Hood Pivot",002-004,
002-004-216,"Support - Headlamp, Hood Panel",002-004,
002-004-217,"Spacer - Pivot, Hood",002-004,
002-004-218,"Bracket - Rod End, Hood Pivot",002-004,
002-004-219,Cover - Sound Insulation,002-004,
002-048-002,Cover - Firewall,002-048,
002-048-003,Cover - Firewall Recess,002-048,
002-048-004,"Pad - Lower, Rear",002-048,
002-048-005,"Pad - Corner, Right",002-048,
002-048-006,"Pad - Corner, Left",002-048,
002-048-007,Pad - Roof Headliner,002-048,
002-048-008,"Pad - Door, Left",002-048,
002-048-009,"Pad - Door, Right",002-048,
002-048-010,Carpet - Floor,002-048,
002-048-011,Pan - Seat Base,002-048,
002-048-013,"Mat - Rubber, Driver",002-048,
002-048-014,"Mat - Rubber, Passenger",002-048,
002-048-015,"Hardware, Mounting - Cab Upholstery Trim",002-048,
002-048-016,Sun Visor - Interior,002-048,
002-048-017,"Clip - Sun Visor, Interior",002-048,
002-048-018,"Cover - Sun Visor, Interior",002-048,
002-048-019,Plate - Header Cover,002-048,
002-048-020,Trim - A-Post,002-048,
002-048-021,Trim - Strip,002-048,
002-048-022,Support - Corner Trim Strip,002-048,
002-048-023,"Hardware, Mounting - A-Post Trim",002-048,
002-048-024,Button - Upholstery,002-048,
002-048-026,Cover - Radio Opening,002-048,
002-048-027,Kick Panel,002-048,
002-048-028,"Tray - Storage, Header",002-048,
