code,name,parent_system_code,description
013-001,Front Brakes and Drums,013,
02-010,Mirror,02,
02-035,Wiper,02,
13-010,Brake Valve/Chamber,13,
24-001,Propeller Shaft,24,
32-001,Battery,32,
32-002,Starting Motor,32,
34-002,Lamps - Rear,34,
34-003,Flasher,34,
34-004,Lamps - Marker,34,
43-003,Exhaust System,43,
44-002,Fuel Filter,44,
51-002,Odometer,51,
024-001,"Sleeve - Repair, Oil",024,
024-002,Drive Shaft Components,024,
053-999,Fluids and Gases,053,Equipment fluids and gases
001-000,Air Conditioning Heating & Ventilating System,001,
001-001,Air Conditioning Assembly - Complete,001,
001-002,Heating & Ventilating,001,
001-003,Auxiliary Heating and Cooling - Self-Powered,001,
001-004,Heater and A/C - Sleeper,001,
001-005,Auxiliary Fan - Defroster,001,
001-006,"Heater and A/C - Combination Unit, Cab",001,
002-000,Cab & Sheet Metal,002,
002-001,Radiator Grille,002,
002-002,Fenders & Mud Flaps - Front Wheel,002,
002-003,Running Boards,002,
002-004,Hood,002,
002-005,Cowl Panels,002,
002-006,Roof Panel & Reinforcements,002,
002-007,Center Pillar & Reinforcements,002,
002-008,Instrument Panel,002,
002-009,Sun Visor,002,
002-010,Mirrors,002,
002-011,Cab Accessories - Interior,002,
002-012,Floor Pan,002,
002-013,Floor Coverings,002,
002-014,Panel Deadeners,002,
002-015,Quarter & Deck Panels - Rear,002,
002-016,Tailgate - Rear,002,
002-017,Cab Or Front Door Panels,002,
002-018,Cab Or Front Door Mechanism,002,
002-019,Side Door Panels & Ramps,002,
002-020,Side Door Mechanism,002,
002-021,"Panel - Rear Door, Cab",002,
002-023,Handles - Inner & Outer,002,
002-024,Glass,002,
002-025,Glass Channels,002,
002-026,Seat Frames & Springs,002,
002-027,Adjuster - Front Seat,002,
002-028,Trim - Seat,002,
002-030,Interior Moldings,002,
002-031,Body Moldings - Exterior,002,
002-032,Sidewall & Miscellaneous Trim,002,
002-033,Sheet Metal Ornamentation,002,
002-034,Exterior Body Ornamentation,002,
002-035,Windshield Wiper & Washer,002,
002-036,Tilting Mechanism,002,
002-037,Seats,002,
002-038,Deflector - Non-Aerodynamic,002,
002-039,Cab Guard Assembly,002,
002-040,Cab Entry Assists,002,
002-041,"Guard - Overhead, Operator Protection",002,
002-042,Crosswalk (Deckplate) - Frame,002,
002-044,Cab,002,
002-045,Insulator - Engine Noise,002,
002-046,Side Door - Special Application,002,
002-047,Vent Assembly,002,
002-048,Upholstery Trim - Cab,002,
002-050,Sleeper,002,
002-057,Occupant Safety Devices,002,
002-058,Signage - Integral to Body,002,
002-059,Truck Bed,002,
002-060,Convertible Top,002,
002-061,Liftgate/Hatch,002,
002-062,Trunk,002,
002-063,Back Glass Wiper and Washer,002,
002-064,Package Tray,002,
002-065,Headlamp Wiper and Washer,002,
002-066,Rear Body Panels and Reinforcements,002,
003-001,Gauges & Warning Devices,003,
003-002,Speedometer,003,
003-003,Meter Assembly,003,
003-004,Shutdown Devices,003,
003-005,Anti-Theft Monitoring Devices,003,
004-000,Deflector - Wind Roof Mounted,004,
004-001,Fairing - Nose,004,
004-002,Fairing - Wind Roof Mounted,004,
004-003,Fairing - Cab Extenders,004,
004-004,Fairing - Chassis,004,
004-005,Fairing - Sleeper,004,
004-006,Fairing - Sleeper Extender,004,
004-007,Fairing - Transitional,004,
004-009,Air Deflector,004,
004-010,Fairing - Belly,004,
004-011,Spoiler - Air,004,
004-012,Spoiler - Body,004,
004-013,Wheel Cover - Aerodynamic,004,
