code,name,parent_assembly_code,description
013-001-015,Front Brake Lining,013-001,
44-002-004,APFI Filter,44-002,
024-01-005,"Sleeve - Repair, Oil",024-01,
024-02-003,Shaft - Intermediate,024-02,
024-02-004,Shaft - Intermediate,024-02,
024-02-005,Bearing Assembly,024-02,
024-02-007,Hanger Assembly,024-02,
024-02-012,"Shield - Dust, U-Joint",024-02,
024-02-022,Flange - Rear U-Joint,024-02,
024-02-029,"Plate - Lock, U-Joint",024-02,
024-02-030,Washer - Cork Drive,024-02,
024-02-031,Cap - Drive Shaft End,024-02,
024-02-035,"Shield - Dust, Drive",024-02,
024-02-034,Plug - Drive Shaft End,024-02,
024-02-027,Plug - Drive Shaft End,024-02,
024-02-038,Yoke - Slip,024-02,
053-999-013,"Fuel, Diesel Engine",053-999,
053-999-014,"Fuel, Gasoline Engine",053-999,
053-999-015,"Fuel, Propane Engine",053-999,
053-999-016,"Oil, Engine",053-999,
