code,name,description
001,"Air Conditioning, Heating and Ventilating","Includes all fans, hoses, thermostats, ductwork, etc., associated with the environmental control of the vehicle cab."
002,Cab and Sheet Metal,"Includes all cab and sheet metal required to cover the major equipment components. Includes all integral bodies and pickup-type beds normally supplied by equipment manufacturers. Also includes reflectors, mirrors, seats and interior cab equipment. Does not include special bodies such as dumps and containers."
003,"Instruments, Gauges, Warning and Shutdown Devices, and Meters","Includes all instruments, gauges (pressure and rotary) warning and shutdown devices, and meters that are integral to the components of power units."
004,Aerodynamic Devices,"Includes all fairings, stabilizers, and other devices designed to reduce drag and buffeting. Applicable to power units and trailers."
011,"Axles, Non-Driven, Front","Begins at, but does not include, the front springs and includes all components up to, but not including, the wheel bearings. Applicable to Power Units, Trailers, etc."
012,"Axles, Non-Driven, Rear","Begins at, but does not include, the rear springs and includes all components up to, but not including, the rear hubs and bearings. Applicable to Power Units, Trailers, etc."
013,Brakes,"Begins at the brake pedal and includes all plumbing, valves, air compressor and controls up to and including the brake drums. Applicable to Power Units, Trailers, etc."
014,Frame,"Includes all structural members of the frame, bumpers and necessary brackets/mounts required for attaching components. However, suspension brackets are not included as part of the frame. Applicable to Power Units, Trailers, etc."
015,Steering,"Begins at the steering wheel and includes all steering components up to, but not including, the spindle or steering knuckle."
016,Suspension,"Begins with, and includes, the brackets attaching the suspension to the frame and includes the parts necessary to attach the suspension to the axle. Applicable to Power Units, Trailers, etc."
017,"Tires, Tubes, Liners and Valves","Includes tires of all types, tubes, liners, and valve assemblies. (Tire costs of mounting, removal, repair and maintenance are an operating expense and should not be charged to the maintenance account.) Applicable to Power Units, Trailers, etc."
018,"Wheels, Rims, Hubs, Bearings","Includes only wheels, rims, hubs wheel bearings and seals. Applicable to Power Units, Trailers, etc."
111,Undercarriage,"Specific to equipment equipped with tracks, such as a bulldozer, or related off-highway equipment. Includes the track, rollers, idlers, tensioners, sprockets, shields/guards, equalizers, and pivot shaft mechanism."
112,Stabilization,"Specific to equipment equipped with retractable stabilizers, such as used on utility or tree-trimming trucks. Includes the feet/pads, hydraulics, controls, supports and locks."
021,"Axles, Driven, Front Steering","Includes the axle assembly beginning with the front spring pad through, but not including, the wheel hub and bearings, and includes the differential drive flange or yoke."
022,"Axles, Driven, Rear","Begins at, but does not include, the rear springs and includes all components up to, but not including, the wheel hub and bearings. Includes the differential drive flange or yoke."
023,Clutch,Includes all clutch drive or driven members including the controls. Does not include the flywheel.
024,Driveshafts,"Includes all driveshafts, universal joints, and support bearings between the component drive flanges or yokes."
025,Transfer Case,"Includes case, cover and all internal parts and controls. Begins at the input shaft and ends at the rear output shaft flange."
026,"Transmission, Main, Manual","Includes the transmission case, cover and all internal parts and controls. Begins with the main drive gear and ends at the rear flange or yoke. Does not include parts found in the Auxiliary section."
027,"Transmission, Main, Automatic","Includes the transmission case, cover, and all internal parts and controls. Begins with the main drive gear and ends at the rear flange or yoke."
028,Auxiliary Transmission,"Includes the transmission case, cover and all internal parts and controls. Begins with the main drive gear and ends at the rear output shaft flange."
029,"Auxiliary Section, Main Transmission, Manual","Includes the transmission case, cover, and all internal parts and controls. Begins with the auxiliary drive gear and ends at the rear flange or yoke."
121,Final Drive,"Includes sprockets, gears, and yoke."
031,Charging,Includes all on-board components and wiring necessary for charging of batteries for both internal combustion and electrically propelled vehicles. Does not include batteries or gauges.
032,Cranking,"Includes the starting motor, necessary piping, wiring, relays and switches (excluding combination ignition or accessory switches) including the system power source which is normally a battery. The cranking system includes both electrical and air operated circuits."
033,Ignition,Begins with the ignition switch and includes all components through the spark plugs. It includes all components and wiring in both the primary and secondary circuits.
034,Lighting,"Includes all wiring, bulbs, switches and wiring harnesses necessary to illuminate the vehicle."
