PART,MANUFACTURER,DESCRIPTION,constructed_code_9d
#3X57X96 SHAFT,TODCO DIV OVRHD DOOR,BALANCER ASSEMBLY,072-000-000
.225X1.75X40 LTC,TODCO DIV OVRHD DOOR,"SPRING, REPLACEMENT, L/H RED",072-004-064
.250X6098,WHITING ROLL-UP DOOR,.250X60X98 GP OPERATOR ASSEM,072-000-014
0000-000011-00,BIG JOE MFG. CO.,BUSHING,055-008-000
0000-000214-00,BIG JOE MFG. CO.,"SEAL, O-RING",055-008-000
100,IMPERIAL SUPPLIES,STEEL EQUIPMENT 3 SHELF,053-000-000
2059,KALMAR LMV,STEERING COLUMN,015-002-004
1400859,MOTORCRAFT CORP.,"ACT, CYLINDER",065-000-000
354,"BANDAG, INC.","RETREAD, B197 ,11R22.5",017-001-000
359,"BANDAG, INC.","RETREAD, 445/50R22.5, B135",017-001-000
362,"BANDAG, INC.","RETREAD, B835, 445/50R22.5",017-001-000
000-446-30-49,EATON VORAD TECH,FRONTEND RADAR 2 HIGH(P),040-001-000
88550,MOTION INDUSTRIES,"BEARING, LOAD RUNNER",018-000-000
903,TOMMY GATES,"TAIL, LIGHT, STOP, TURN",034-002-001
906,TOMMY GATES,"REVERSE, LAMP",026-010-064
958,TOMMY GATES,12 VOLT MOTOR,055-002-000
971,TOMMY GATES,TOMMY REPLACEMENT G2 CYLINDER,055-003-002
975,TOMMY GATES,"TOMMY REPLACEMENT 1/4""X21"" HY",055-003-004
976,TOMMY GATES,"TOMMY REPLACEMENT 1/4""X52"" HYD",055-003-004
987,TOMMY GATES,TOMMY REPLACEMENT FIXED CONTRO,055-003-005
000-989-10-08-11,MERCEDES-BENZ OF NA,"OIL, 5W30 MERCEDES MOTOR",044-000-000
9903150,MOTORCRAFT CORP.,"NUT, EXHAUST",043-002-034
1057,BRIDGESTONE TIRE,"TIRE, M771, 11R22.5",017-001-000
111193,RYTECH CORP,WIRELESS BATTERY,032-001-000
001-421-11-91,MERCEDES-BENZ OF NA,"BRAKE, SPRING",013-001-019
001-820-61-45,MERCEDES-BENZ OF NA,"BLADE, WIPER - REAR",002-035-000
001-982-82-08,MERCEDES-BENZ OF NA,"BATTERY, GROUP H8A, 850CCA",032-001-000
19904605,MOTORCRAFT CORP.,"SCREW, EXHAUST",082-040-012
002-22000,MASTER MOVER,BRACKET,002-000-000
2383,BEVERAGE BODY INC,"SAFE, TRUCK PADLOCK STYLE W/ H",053-000-000
002-61700,MASTER MOVER,SHOCK,016-000-000
002-89700,MASTER MOVER,BATTERY PACK SHIM,032-000-000
2920,BRIDGESTONE TIRE,"TIRE, R268 295/75R22.5 TLBL16",017-001-000
3127,BRIDGESTONE TIRE,"TIRE, R123 ECOPIA, 11R22.5",017-001-000
003-25100,MASTER MOVER,"FUSE, 35A RESETTABLE SM100",032-002-000
003-50500,MASTER MOVER,TIMER RELAY,032-000-000
003570-000,TOTALSOURCE,PIN,053-000-000
3610,IMPERIAL SUPPLIES,HOSE,065-000-000
004-19800,MASTER MOVER,HOSE KIT,065-000-000
004-216-001,"RIGHTLINE EQPT, INC",PLATE,053-000-000
004-219-125,CROWN,PLATE,053-000-000
004-439-001,"RIGHTLINE EQPT, INC",PLATE,053-000-000
004-439-002,RAYMOND,PLATE,053-000-000
00448/Z5000000,NAVISTAR,"HOSE, HYDRAULIC",065-000-000
0045-00,"REYCO INDS, INC.",REPLACEABLE WEAR PAD,016-000-000
4543,"BANDAG, INC.","RETREAD, B760, 11R22.5",017-001-000
4554,"BANDAG, INC.","RETREAD, B760, 295/75R22.5",017-001-000
4709,FIRESTONE,"TIRE, TRANS CV, 235/65R16C",017-001-000
4837,TOMMY GATES,TOMMY GATE COVER,055-001-000
49390,BETTSHD,"TAPE, CONSPICUITY - ANGLED",002-000-000
4949,TOMMY GATES,TOMMY REPLACEMENT BOX COVER,055-001-000
005-007,CROWN,RETAINER,053-000-000
005-007-001,"RIGHTLINE EQPT, INC",ITA SLIDE/RETAINER,053-000-000
005-00900,MASTER MOVER,LH GEARBOX,055-007-000
005-01000,MASTER MOVER,RH GEARBOX,055-007-000
005-304-001,"RIGHTLINE EQPT, INC",TOP SLIDE III,053-000-000
5313,BRIDGESTONE TIRE,"TIRE, M726ELA, 11R22.5",017-001-000
00590-00011-71,TOYOTA,"BEARING, INNER",018-001-000
00590-00012-71,TOYOTA,"BEARING, OUTER",018-001-000
00590-00013-71,TOYOTA,"WHEEL, RUBBER -  LOAD - WALKIN",018-000-000
00590-00015-71,TOYOTA,"WASHER, FLAT",053-000-000
00590-00020-71,TOYOTA,"SHAFT, AXLE -  WALKIE RIDER",016-000-000
00590-00023-71,TOYOTA,"ASSEMBLY, LOAD WHEEL",018-000-000
00590-00043-71,TOYOTA,"PIN, SPIRAL",053-000-000
00590-00150-71,TOYOTA,SWITCH,032-000-000
00590-00234-71,TOYOTA,BUSHING-MACHINED,053-000-000
00590-00359-71,TOYOTA,SPACER,053-000-000
00590-00405-71,TOYOTA,"BEARING, BALL DOUBLE SEAL",018-000-000
00590-00423-71,TOYOTA,"FITTING, GREASE 1853",053-000-000
00590-00473-71,TOYOTA,WASHER FLAT,053-000-000
00590-00995-71,TOYOTA,NUT,053-000-000
00590-01620-71,TOYOTA,"WHEEL, POLY",018-000-000
00590-02027-71,TOYOTA,NUT LOCKING,053-000-000
00590-02179-71,TOYOTA,SCREW,053-000-000
00590-02189-71,TOYOTA,"SHAFT, PIVOT",053-000-000
00590-02191-71,TOYOTA,SPRING ADJUSTER WELD,016-000-000
00590-02338-71,TOYOTA,"SWITCH, IGNITION KEYLESS - WAL",032-000-000
00590-03034-71,TOYOTA,"GUARD- STROBE, WARNING",034-000-000
00590-03264-71,TOYOTA,"BUTTON, ASSEMBLY",032-000-000
00590-03870-71,TOYOTA,SCREW,053-000-000
00590-04497-71,TOYOTA,"DECAL, TOYOTA",002-000-000
00590-04770-71,TOYOTA,"AXLE, WHEEL, CASTER",016-000-000
00590-04780-71,TOYOTA,"WHEEL, HYLOAD POLY",018-000-000
00590-05361-71,TOYOTA,GROOVED BUSHING SLEEVE,053-000-000
