PART,MANUFACTURER,DESCRIPTION,CLASS,SYSTEM,COMPONENT,ASSEMBLY,ACTIVE,COMPLETE VMRS,COMPLETE CLASS
78PRM,SUPER START,"BATTERY, GROUP 78, WET, 690CCA",BATTERIES,32,1,1,Y,YES,YES
MT-48/H6,INTERSTATE BATTERY,"BATTERY, GROUP H6, WET, 690CCA",BATTERIES,32,1,1,Y,YES,YES
MT-59,INTERSTATE BATTERY,"BATTERY, GROUP 59, WET, 590CCA",BATTERIES,32,1,1,Y,YES,YES
MT-65,INTERSTATE BATTERY,"BATTERY, GROUP 65, WET, 675CCA",BATTERIES,32,1,1,Y,YES,YES
8AGC2,DEKA BATTERIES,"BATTERY, GROUP GC2, AGM, 190AH",BATTERIES,32,1,78,Y,YES,YES
MT-78,INTERSTATE BATTERY,"BATTERY, GROUP 78, WET, 700CCA",BATTERIES,32,1,1,Y,YES,YES
MT-86,INTERSTATE BATTERY,"BATTERY, GROUP 86, WET, 525CCA",BATTERIES,32,1,1,Y,YES,YES
MT-91/T6,INTERSTATE BATTERY,"BATTERY, GROUP T6, WET, 600CCA",BATTERIES,32,1,1,Y,YES,YES
27RPRM,SUPER START,"BATTERY, GROUP 27F, 710CCA",BATTERIES,32,1,1,Y,YES,YES
65PRMJ,SUPER START,"BATTERY, GROUP 65, WET, 750CCA",BATTERIES,32,1,1,Y,YES,YES
MTP-24,INTERSTATE BATTERY,"BATTERY, GROUP 24, WET, 700CCA",BATTERIES,32,1,1,Y,YES,YES
MTP-48/H6,INTERSTATE BATTERY,"BATTERY, GROUP H6, WET, 730CCA",BATTERIES,32,1,1,Y,YES,YES
MTP-65,INTERSTATE BATTERY,"BATTERY, GROUP 65, WET, 750CCA",BATTERIES,32,1,1,Y,YES,YES
MTP-65HD,INTERSTATE BATTERY,"BATTERY, GROUP 65, WET, 850CCA",BATTERIES,32,1,1,Y,YES,YES
MTP-75,INTERSTATE BATTERY,"BATTERY, GROUP 75, WET, 700CCA",BATTERIES,32,1,1,Y,YES,YES
MTP-78,INTERSTATE BATTERY,"BATTERY, GROUP 78, WET, 800CCA",BATTERIES,32,1,1,Y,YES,YES
C31S-HD,HARRIS BATTERY,"BATTERY, GROUP 31, WET, 925CCA",BATTERIES,32,1,1,Y,YES,YES
MTP-96R,INTERSTATE BATTERY,"BATTERY, GRP 96R, WET, 590CCA",BATTERIES,32,1,1,Y,YES,YES
SLAA6-200C,DURACELL,"BATTERY, AGM, 6V, 208AH",BATTERIES,32,1,78,Y,YES,YES
SLAA12-80C/FR,DURACELL,"BATTERY, AGM, 12V, 80AH,",BATTERIES,32,1,78,Y,YES,YES
SLAA12-18NB,DURACELL,"BATTERY, AGM, 12V, 18AH",BATTERIES,32,1,78,Y,YES,YES
SLA12-8F2,DURACELL,"BATTERY, AGM, 12V, 8AH",BATTERIES,32,1,78,Y,YES,YES
1031MF,DEKA BATTERIES,"BATTERY, GROUP 31, WET, 760CCA",BATTERIES,32,1,1,Y,YES,YES
L-125,SEBANG BATTERIES,"BATTERY, GRP GC2, 6V,  240AH",BATTERIES,32,1,1,Y,YES,YES
MT-47/H5,INTERSTATE BATTERY,"BATTERY, GROUP H5, WET, 650CCA",BATTERIES,32,1,1,Y,YES,YES
CB62000-IT,CONTINENTAL PROD CO.,"BATTERY, GROUP 27, 6V, 200AH",BATTERIES,32,1,1,Y,YES,YES
SLA1055,INTERSTATE BATTERY,"BATTERY, AGM, 12V, 5AH",BATTERIES,32,1,78,Y,YES,YES
CB1250,CENTENNIAL BATTERIES,"BATTERY, AGM, 12V, 5AH",BATTERIES,32,1,78,Y,YES,YES
845A,ACDELCO,"BATTERY, GROUP 4D, 6V, 150AH",BATTERIES,32,1,1,Y,YES,YES
